Place of Origin,year,enrollment
South Korea,1949,258
South Korea,1954,1197
South Korea,1959,2474
South Korea,1964,2604
South Korea,1969,3991
South Korea,1974,3390
South Korea,1979,4890
South Korea,1984,16430
South Korea,1989,21710
South Korea,1994,33599
South Korea,1999,41191
South Korea,2000,45685
South Korea,2001,49046
South Korea,2002,51519
South Korea,2003,52484
South Korea,2004,53358
South Korea,2005,59022
South Korea,2006,62392
South Korea,2007,69124
South Korea,2008,75065
South Korea,2009,72153
South Korea,2010,73351
South Korea,2011,72295
South Korea,2012,70627
South Korea,2013,68047
South Korea,2014,63710
South Korea,2015,61007
South Korea,2016,58663
South Korea,2017,54555
South Korea,2018,52250
South Korea,2019,49809
South Korea,2020,39491
South Korea,2021,40755
South Korea,2022,43847
South Korea,2023,43149
South Korea,2024,42293
China,1964,5
China,1969,19
China,1974,22
China,1979,1000
China,1984,10100
China,1989,33390
China,1994,39403
China,1999,54466
China,2000,59939
China,2001,63211
China,2002,64757
China,2003,61765
China,2004,62523
China,2005,62582
China,2006,67723
China,2007,81127
China,2008,98235
China,2009,127628
China,2010,157558
China,2011,194029
China,2012,235597
China,2013,274439
China,2014,304040
China,2015,328547
China,2016,350755
China,2017,363341
China,2018,369548
China,2019,372532
China,2020,317299
China,2021,290086
China,2022,289526
China,2023,277398
China,2024,265919
India,1949,1359
India,1954,1673
India,1959,3780
India,1964,6814
India,1969,11329
India,1974,9660
India,1979,8760
India,1984,14620
India,1989,26240
India,1994,33537
India,1999,42337
India,2000,54664
India,2001,66836
India,2002,74603
India,2003,79736
India,2004,80466
India,2005,76503
India,2006,83833
India,2007,94563
India,2008,103260
India,2009,104897
India,2010,103895
India,2011,100270
India,2012,96754
India,2013,102673
India,2014,132888
India,2015,165918
India,2016,186267
India,2017,196271
India,2018,202014
India,2019,193124
India,2020,167582
India,2021,199182
India,2022,268923
India,2023,331602
India,2024,363019
Japan,1949,265
Japan,1954,1673
Japan,1959,2248
Japan,1964,3534
Japan,1969,4311
Japan,1974,5930
Japan,1979,12260
Japan,1984,13160
Japan,1989,29840
Japan,1994,45276
Japan,1999,46872
Japan,2000,46497
Japan,2001,46810
Japan,2002,45960
Japan,2003,40835
Japan,2004,42215
Japan,2005,38712
Japan,2006,35282
Japan,2007,33974
Japan,2008,29264
Japan,2009,24842
Japan,2010,21290
Japan,2011,19966
Japan,2012,19568
Japan,2013,19334
Japan,2014,19064
Japan,2015,19060
Japan,2016,18780
Japan,2017,18753
Japan,2018,18105
Japan,2019,17554
Japan,2020,11785
Japan,2021,13449
Japan,2022,16054
Japan,2023,13959
Japan,2024,13814
