year,total_korean,pct_change,index_2000,total_china,total_india,total_japan,index_2000_china,index_2000_india,index_2000_japan
1964,2604,5.254648342764745,5.7,5,6814,3534,0.0,12.5,7.6
1969,3991,53.264208909370204,8.7,19,11329,4311,0.0,20.7,9.3
1974,3390,-15.058882485592584,7.4,22,9660,5930,0.0,17.7,12.8
1979,4890,44.24778761061947,10.7,1000,8760,12260,1.7,16.0,26.4
1984,16430,235.99182004089977,36.0,10100,14620,13160,16.9,26.7,28.3
1989,21710,32.136335970785154,47.5,33390,26240,29840,55.7,48.0,64.2
1994,33599,54.76278212805159,73.5,39403,33537,45276,65.7,61.4,97.4
1999,41191,22.59591059257715,90.2,54466,42337,46872,90.9,77.4,100.8
2000,45685,10.910150275545627,100.0,59939,54664,46497,100.0,100.0,100.0
2001,49046,7.35690051439204,107.4,63211,66836,46810,105.5,122.3,100.7
2002,51519,5.042205276679046,112.8,64757,74603,45960,108.0,136.5,98.8
2003,52484,1.8730953628758318,114.9,61765,79736,40835,103.0,145.9,87.8
2004,53358,1.6652694154408954,116.8,62523,80466,42215,104.3,147.2,90.8
2005,59022,10.615090520634208,129.2,62582,76503,38712,104.4,140.0,83.3
2006,62392,5.709735352919254,136.6,67723,83833,35282,113.0,153.4,75.9
2007,69124,10.789844851904085,151.3,81127,94563,33974,135.3,173.0,73.1
2008,75065,8.594699380822867,164.3,98235,103260,29264,163.9,188.9,62.9
2009,72153,-3.87930460267768,157.9,127628,104897,24842,212.9,191.9,53.4
2010,73351,1.6603606225659373,160.6,157558,103895,21290,262.9,190.1,45.8
2011,72295,-1.4396531744625185,158.2,194029,100270,19966,323.7,183.4,42.9
2012,70627,-2.307213500242067,154.6,235597,96754,19568,393.1,177.0,42.1
2013,68047,-3.652993897517942,148.9,274439,102673,19334,457.9,187.8,41.6
2014,63710,-6.373535938395525,139.5,304040,132888,19064,507.2,243.1,41.0
2015,61007,-4.24266206247057,133.5,328547,165918,19060,548.1,303.5,41.0
2016,58663,-3.8421820446833954,128.4,350755,186267,18780,585.2,340.7,40.4
2017,54555,-7.0027103966725175,119.4,363341,196271,18753,606.2,359.0,40.3
2018,52250,-4.2250939418934985,114.4,369548,202014,18105,616.5,369.6,38.9
2019,49809,-4.671770334928227,109.0,372532,193124,17554,621.5,353.3,37.8
2020,39491,-20.715131803489328,86.4,317299,167582,11785,529.4,306.6,25.3
2021,40755,3.200729280089143,89.2,290086,199182,13449,484.0,364.4,28.9
2022,43847,7.586799165746538,96.0,289526,268923,16054,483.0,492.0,34.5
2023,43149,-1.5918991037015107,94.4,277398,331602,13959,462.8,606.6,30.0
2024,42293,-1.9838234953301392,92.6,265919,363019,13814,443.6,664.1,29.7
