year,year_label,Arts & Design,Business & Management,Education,Humanities & Social Sciences,Other,STEM,total_korean
2009,2009/10,10.8,17.0,3.9,14.7,23.099999999999998,30.5,72153.0
2010,2010/11,12.2,17.0,3.7,14.7,23.2,29.200000000000003,73351.0
2011,2011/12,11.1,16.8,3.2,16.8,22.1,30.0,72295.0
2012,2012/13,13.4,16.4,3.1,16.5,22.9,27.700000000000003,70627.0
2013,2013/14,12.8,17.0,3.1,16.4,21.0,29.7,68047.0
2014,2014/15,11.9,16.7,3.0,16.2,21.3,31.0,63710.0
2015,2015/16,12.9,16.8,3.1,16.400000000000002,19.6,31.2,61007.0
2016,2016/17,12.1,15.4,2.9,16.8,19.7,33.1,58663.0
2017,2017/18,12.0,15.1,2.9,13.9,21.099999999999998,35.1,54555.0
2018,2018/19,12.6,14.0,2.6,14.8,18.9,37.1,52250.0
2019,2019/20,11.8,13.0,2.3,14.100000000000001,19.0,39.9,49809.0
2020,2020/21,10.5,12.5,2.7,14.899999999999999,16.4,43.0,39491.0
2021,2021/22,10.5,11.8,2.5,14.5,17.2,43.4,40755.0
2022,2022/23,10.1,12.0,2.2,13.700000000000001,18.4,43.5,43847.0
2023,2023/24,10.0,11.8,2.0,14.200000000000001,17.9,44.2,43149.0
2024,2024/25,9.4,11.9,2.1,13.8,18.3,44.5,42293.0
