year,institution_name,intl_students_all,leading_inst_rank,state,control,carnegie,tuition_oos,latitude,longitude,qs_rank,qs_rank_2020,qs_rank_2016,has_strong_stem,pct_programs_stem,qs_rank_log,korean_pop,national_total_korean
2000,New York University,5399,1,NY,Private nonprofit,15,58168.0,40.729452,-73.997264,35.0,39.0,46.0,1.0,0.38,3.58351893845611,139793.0,45685
2000,University of Southern California,5321,2,CA,Private nonprofit,15,63468.0,34.021281,-118.284169,111.0,152.0,151.0,1.0,0.42,4.718498871295094,452847.0,45685
2000,Columbia University,4837,3,NY,Private nonprofit,15,65524.0,36.087962,-80.250153,12.0,18.0,16.0,1.0,0.44,2.5649493574615367,139793.0,45685
2000,Purdue University West Lafayette,4469,4,IN,Public,15,28794.0,41.117278,-85.108962,,,,,,,6271.0,45685
2000,Boston University,4443,5,MA,Private nonprofit,15,60050.0,42.351118,-71.107942,90.0,90.0,87.0,1.0,0.4,4.51085950651685,13271.0,45685
2000,University of Texas Austin,4320,6,TX,Public,15,40032.0,30.282825,-97.738273,67.0,71.0,76.0,1.0,0.5,4.219507705176107,71914.0,45685
2000,Ohio State University Columbus,4035,7,OH,Public,15,33502.0,32.50096,-84.94106,,,,,,,14271.0,45685
2000,University of Michigan Ann Arbor,4004,8,MI,Public,15,52266.0,42.278374,-83.73481,,,,,,,16271.0,45685
2000,University of Wisconsin Madison,3938,9,WI,Public,15,38730.0,44.798284,-91.501906,,,,,,,,45685
2000,Northern Virginia Community College,3877,10,VA,Public,40,9000.0,38.833361,-77.236718,,,,,,,58271.0,45685
2000,University of Illinois Urbana-Champaign,3798,11,IL,Public,15,32000.0,40.104718,-88.229114,58.0,53.0,52.0,1.0,0.55,4.07753744390572,46614.0,45685
2000,Florida International University,3603,12,FL,Public,15,18956.0,25.75732,-80.373928,,,,,,,28271.0,45685
2000,Texas A&M University College Station,3587,13,TX,Public,15,38360.0,33.082787,-83.231962,,,,,,,71914.0,45685
2000,University of Pennsylvania,3487,14,PA,Private nonprofit,15,63452.0,39.950929,-75.19391,,,,,,,31271.0,45685
2000,University of Maryland College Park,3480,15,MD,Public,15,40806.0,38.988178,-76.944721,,,,,,,53793.0,45685
2000,Harvard University,3377,16,MA,Private nonprofit,15,56550.0,42.374471,-71.118313,4.0,3.0,3.0,1.0,0.42,1.6094379124341003,13271.0,45685
2000,University of Minnesota Twin Cities,3356,17,MN,Public,15,33325.0,44.972851,-93.235464,,,,,,,7271.0,45685
2000,Pennsylvania State University University Park,3288,18,PA,Public,15,42000.0,40.358839,-75.97329,,,,,,,31271.0,45685
2000,Indiana University Bloomington,3284,19,IN,Public,15,37040.0,41.902678,-87.823003,,,,,,,6271.0,45685
2000,Montgomery College,3264,20,MD,Public,40,9000.0,39.098656,-77.15929,,,,,,,53793.0,45685
2000,Houston Community College System,3201,21,TX,Public,40,6000.0,29.742114,-95.377319,,,,,,,71914.0,45685
2000,CUNY Baruch College,3135,22,NY,Public,18,18600.0,40.740238,-73.983417,,,,,,,139793.0,45685
2000,University of Florida,3039,23,FL,Public,15,28658.0,29.64629,-82.347911,,,,,,,28271.0,45685
2000,Cornell University,3024,24,NY,Private nonprofit,15,63200.0,42.4472,-76.483084,,,,,,,139793.0,45685
2000,University of Houston,3010,25,TX,Public,15,22906.0,29.720393,-95.343537,,,,,,,71914.0,45685
2001,University of Southern California,5950,1,CA,Private nonprofit,15,63468.0,34.021281,-118.284169,111.0,152.0,151.0,1.0,0.42,4.718498871295094,452847.0,49046
2001,New York University,5504,2,NY,Private nonprofit,15,58168.0,40.729452,-73.997264,35.0,39.0,46.0,1.0,0.38,3.58351893845611,139793.0,49046
2001,Columbia University,5116,3,NY,Private nonprofit,15,65524.0,36.087962,-80.250153,12.0,18.0,16.0,1.0,0.44,2.5649493574615367,139793.0,49046
2001,Purdue University West Lafayette,4695,4,IN,Public,15,28794.0,41.117278,-85.108962,,,,,,,6271.0,49046
2001,University of Texas Austin,4673,5,TX,Public,15,40032.0,30.282825,-97.738273,67.0,71.0,76.0,1.0,0.5,4.219507705176107,71914.0,49046
2001,Boston University,4412,6,MA,Private nonprofit,15,60050.0,42.351118,-71.107942,90.0,90.0,87.0,1.0,0.4,4.51085950651685,13271.0,49046
2001,Ohio State University Columbus,4302,7,OH,Public,15,33502.0,32.50096,-84.94106,,,,,,,14271.0,49046
2001,University of Illinois Urbana-Champaign,4287,8,IL,Public,15,32000.0,40.104718,-88.229114,58.0,53.0,52.0,1.0,0.55,4.07753744390572,46614.0,49046
2001,University of Michigan Ann Arbor,4149,9,MI,Public,15,52266.0,42.278374,-83.73481,,,,,,,16271.0,49046
2001,University of Florida,3884,10,FL,Public,15,28658.0,29.64629,-82.347911,,,,,,,28271.0,49046
2001,University of Pennsylvania,3820,11,PA,Private nonprofit,15,63452.0,39.950929,-75.19391,,,,,,,31271.0,49046
2001,University of Wisconsin Madison,3744,12,WI,Public,15,38730.0,44.798284,-91.501906,,,,,,,,49046
2001,Florida International University,3723,13,FL,Public,15,18956.0,25.75732,-80.373928,,,,,,,28271.0,49046
2001,University of Maryland College Park,3711,14,MD,Public,15,40806.0,38.988178,-76.944721,,,,,,,53793.0,49046
2001,Texas A&M University College Station,3563,15,TX,Public,15,38360.0,33.082787,-83.231962,,,,,,,71914.0,49046
2001,Pennsylvania State University University Park,3484,16,PA,Public,15,42000.0,40.358839,-75.97329,,,,,,,31271.0,49046
2001,Houston Community College System,3484,17,TX,Public,40,6000.0,29.742114,-95.377319,,,,,,,71914.0,49046
2001,Harvard University,3448,18,MA,Private nonprofit,15,56550.0,42.374471,-71.118313,4.0,3.0,3.0,1.0,0.42,1.6094379124341003,13271.0,49046
2001,University of Houston,3380,19,TX,Public,15,22906.0,29.720393,-95.343537,,,,,,,71914.0,49046
2001,University of Minnesota Twin Cities,3356,20,MN,Public,15,33325.0,44.972851,-93.235464,,,,,,,7271.0,49046
2001,Arizona State University Tempe,3348,21,AZ,Public,15,32100.0,34.74582,-92.28758,,,,,,,7271.0,49046
2001,Indiana University Bloomington,3325,22,IN,Public,15,37040.0,41.902678,-87.823003,,,,,,,6271.0,49046
2001,SUNY University at Buffalo,3237,23,NY,Public,15,27000.0,43.000942,-78.789458,,,,,,,139793.0,49046
2001,Wayne State University,3233,24,MI,Public,15,30000.0,42.358994,-83.068998,,,,,,,16271.0,49046
2001,Montgomery College,3217,25,MD,Public,40,9000.0,39.098656,-77.15929,,,,,,,53793.0,49046
