year_label,year,rank,institution_name,city,state,intl_students_total
2000/01,2000,1,New York University,New York,NY,5399
2000/01,2000,2,University of Southern California,Los Angeles,CA,5321
2000/01,2000,3,Columbia University,New York,NY,4837
2000/01,2000,4,Purdue University - West Lafayette,West Lafayette,IN,4469
2000/01,2000,5,Boston University,Boston,MA,4443
2000/01,2000,6,University of Texas - Austin,Austin,TX,4320
2000/01,2000,7,Ohio State University - Columbus,Columbus,OH,4035
2000/01,2000,8,University of Michigan - Ann Arbor,Ann Arbor,MI,4004
2000/01,2000,9,University of Wisconsin - Madison,Madison,WI,3938
2000/01,2000,10,Northern Virginia Community College,Annandale,VA,3877
2000/01,2000,11,University of Illinois - Urbana-Champaign,Champaign,IL,3798
2000/01,2000,12,Florida International University,Miami,FL,3603
2000/01,2000,13,Texas A&M University - College Station,College Station,TX,3587
2000/01,2000,14,University of Pennsylvania,Philadelphia,PA,3487
2000/01,2000,15,University of Maryland - College Park,College Park,MD,3480
2000/01,2000,16,Harvard University,Cambridge,MA,3377
2000/01,2000,17,University of Minnesota - Twin Cities,Minneapolis,MN,3356
2000/01,2000,18,Pennsylvania State University - University Park,University Park,PA,3288
2000/01,2000,19,Indiana University - Bloomington,Bloomington,IN,3284
2000/01,2000,20,Montgomery College,Rockville,MD,3264
2000/01,2000,21,Houston Community College System,Houston,TX,3201
2000/01,2000,22,CUNY Baruch College,New York,NY,3135
2000/01,2000,23,University of Florida,Gainesville,FL,3039
2000/01,2000,24,Cornell University,Ithaca,NY,3024
2000/01,2000,25,University of Houston,Houston,TX,3010
2001/02,2001,1,University of Southern California,Los Angeles,CA,5950
2001/02,2001,2,New York University,New York,NY,5504
2001/02,2001,3,Columbia University,New York,NY,5116
2001/02,2001,4,Purdue University - West Lafayette,West Lafayette,IN,4695
2001/02,2001,5,University of Texas - Austin,Austin,TX,4673
2001/02,2001,6,Boston University,Boston,MA,4412
2001/02,2001,7,Ohio State University - Columbus,Columbus,OH,4302
2001/02,2001,8,University of Illinois - Urbana-Champaign,Champaign,IL,4287
2001/02,2001,9,University of Michigan - Ann Arbor,Ann Arbor,MI,4149
2001/02,2001,10,University of Florida,Gainesville,FL,3884
2001/02,2001,11,University of Pennsylvania,Philadelphia,PA,3820
2001/02,2001,12,University of Wisconsin - Madison,Madison,WI,3744
2001/02,2001,13,Florida International University,Miami,FL,3723
2001/02,2001,14,University of Maryland - College Park,College Park,MD,3711
2001/02,2001,15,Texas A&M University - College Station,College Station,TX,3563
2001/02,2001,16,Pennsylvania State University - University Park,University Park,PA,3484
2001/02,2001,17,Houston Community College System,Houston,TX,3484
2001/02,2001,18,Harvard University,Cambridge,MA,3448
2001/02,2001,19,University of Houston,Houston,TX,3380
2001/02,2001,20,University of Minnesota - Twin Cities,Minneapolis,MN,3356
2001/02,2001,21,Arizona State University - Tempe,Tempe,AZ,3348
2001/02,2001,22,Indiana University - Bloomington,Bloomington,IN,3325
2001/02,2001,23,SUNY University at Buffalo,Buffalo,NY,3237
2001/02,2001,24,Wayne State University,Detroit,MI,3233
2001/02,2001,25,Montgomery College,Rockville,MD,3217
2002/03,2002,1,University of Southern California,Los Angeles,CA,6270
2002/03,2002,2,New York University,New York,NY,5454
2002/03,2002,3,Columbia University,New York,NY,5148
2002/03,2002,4,Purdue University - West Lafayette,West Lafayette,IN,5015
2002/03,2002,5,University of Texas - Austin,Austin,TX,4926
2002/03,2002,6,University of Michigan - Ann Arbor,Ann Arbor,MI,4601
2002/03,2002,7,University of Illinois - Urbana-Champaign,Champaign,IL,4555
2002/03,2002,8,Boston University,Boston,MA,4518
2002/03,2002,9,University of Wisconsin - Madison,Madison,WI,4396
